material_id,formula,formation_energy,e_above_hull,comp_group,elements_set,elements,fractions,element_indices
mp-1186599,NdMg149,0.005738530183333,0.008466276,Mg:1.00|Nd:0.00,"{'Mg', 'Nd'}","Mg,Nd","0.99333333,0.00666667","60,67"
mp-560995,Y(IO3)3,-1.478612512692308,0.0,I:0.20|O:0.60|Y:0.20,"{'I', 'Y', 'O'}","I,O,Y","0.20000000,0.60000000,0.20000000","48,73,115"
mp-1229080,Ce5Cu19P12,-0.5273264826587291,0.0,Ce:0.15|Cu:0.55|P:0.35,"{'Cu', 'Ce', 'P'}","Ce,Cu,P","0.13888889,0.52777778,0.33333333","19,27,76"
mp-13541,Sr2Mg(BO3)2,-3.184874278484848,0.0,B:0.15|Mg:0.15|O:0.45|Sr:0.30,"{'Mg', 'O', 'Sr', 'B'}","B,Mg,O,Sr","0.14285714,0.14285714,0.42857143,0.28571429","9,60,73,101"
mp-1192860,Rb2BeF4,-3.308134770714286,0.0009278825,Be:0.15|F:0.55|Rb:0.30,"{'F', 'Rb', 'Be'}","Be,F,Rb","0.14285714,0.57142857,0.28571429","11,34,86"
mp-642651,Yb2Ge4Ru3,-0.7121693008333361,0.0,Ge:0.45|Ru:0.35|Yb:0.20,"{'Ru', 'Yb', 'Ge'}","Ge,Ru,Yb","0.44444444,0.33333333,0.22222222","41,92,116"
mp-1185810,Mg5Hg,-0.035467409583335,0.052550892499998,Hg:0.15|Mg:0.85,"{'Hg', 'Mg'}","Hg,Mg","0.16666667,0.83333333","45,60"
mp-1201857,Si(H3C)2,-0.198092826411307,0.048870732185185,C:0.20|H:0.60|Si:0.20,"{'C', 'Si', 'H'}","C,H,Si","0.20000000,0.60000000,0.20000000","16,42,98"
mp-1217630,Tb3SmNi4,-0.415128023124999,0.003865166249998,Ni:0.50|Sm:0.10|Tb:0.40,"{'Tb', 'Ni', 'Sm'}","Ni,Sm,Tb","0.50000000,0.12500000,0.37500000","70,99,103"
mp-1187301,Tb3Pr,0.038563687083332,0.038563687083332,Pr:0.25|Tb:0.75,"{'Pr', 'Tb'}","Pr,Tb","0.25000000,0.75000000","82,103"
mp-1110689,Rb2CuMoBr6,-1.2492365395,0.093297993729164,Br:0.60|Cu:0.10|Mo:0.10|Rb:0.20,"{'Cu', 'Mo', 'Rb', 'Br'}","Br,Cu,Mo,Rb","0.60000000,0.10000000,0.10000000,0.20000000","15,27,62,86"
mp-559356,Tl3AsS3,-0.528355104821433,0.0,As:0.15|S:0.45|Tl:0.45,"{'S', 'Tl', 'As'}","As,S,Tl","0.14285714,0.42857143,0.42857143","6,93,108"
mp-864879,NbC2NCl8,-0.647729563220488,0.089492387031244,C:0.15|Cl:0.65|N:0.10|Nb:0.10,"{'Nb', 'Cl', 'N', 'C'}","C,Cl,N,Nb","0.16666667,0.66666667,0.08333333,0.08333333","16,21,64,66"
mp-1219663,PuZr4C5,-0.829481127666667,0.028895382333331,C:0.50|Pu:0.10|Zr:0.40,"{'Pu', 'Zr', 'C'}","C,Pu,Zr","0.50000000,0.10000000,0.40000000","16,84,118"
mp-2715701,Na2LaNb3Si2(PO6)4,-2.983566643972132,0.059619907870306,La:0.05|Na:0.15|Nb:0.20|O:0.40|P:0.05|Si:0.15,"{'Na', 'Nb', 'O', 'Si', 'P', 'La'}","La,Na,Nb,O,P,Si","0.06666667,0.13333333,0.20000000,0.40000000,0.06666667,0.13333333","53,65,66,73,76,98"
mp-1023933,WSe2,-0.595456302708332,0.008163203333332,Se:0.65|W:0.35,"{'Se', 'W'}","Se,W","0.66666667,0.33333333","96,113"
mp-972455,TmLuIn2,-0.523107916666663,0.011427070833327,In:0.50|Lu:0.25|Tm:0.25,"{'Lu', 'In', 'Tm'}","In,Lu,Tm","0.50000000,0.25000000,0.25000000","49,56,109"
mp-1227282,Be4SiNi,-0.115919073333332,0.073204727499999,Be:0.65|Ni:0.15|Si:0.15,"{'Ni', 'Si', 'Be'}","Be,Ni,Si","0.66666667,0.16666667,0.16666667","11,70,98"
mp-782662,Li2V5Cr2O12,-2.392069722460316,0.094434581086311,Cr:0.10|Li:0.10|O:0.55|V:0.25,"{'V', 'O', 'Cr', 'Li'}","Cr,Li,O,V","0.09523810,0.09523810,0.57142857,0.23809524","25,54,73,112"
mp-531,K4Si23,-0.029964210555555,0.010719426018518,K:0.15|Si:0.85,"{'K', 'Si'}","K,Si","0.14814815,0.85185185","51,98"
mp-772838,Er(ReO4)3,-2.41569748515625,0.0,Er:0.15|O:0.65|Re:0.15,"{'Re', 'O', 'Er'}","Er,O,Re","0.16666667,0.66666667,0.16666667","31,73,87"
mp-1105059,Mn(Mo3Se4)2,-0.565261330660924,0.086348050804598,Mn:0.10|Mo:0.40|Se:0.50,"{'Mo', 'Mn', 'Se'}","Mn,Mo,Se","0.12500000,0.37500000,0.50000000","61,62,96"
mp-1193926,K3Lu(PO4)2,-2.98139075805017,0.020135255357145,K:0.35|Lu:0.10|O:0.45|P:0.10,"{'Lu', 'O', 'K', 'P'}","K,Lu,O,P","0.33333333,0.11111111,0.44444444,0.11111111","51,56,73,76"
mp-571511,HgH10C3Br3N,-0.405284480277777,0.069080903472221,Br:0.15|C:0.15|H:0.55|Hg:0.05|N:0.05,"{'C', 'H', 'Br', 'Hg', 'N'}","Br,C,H,Hg,N","0.16666667,0.16666667,0.55555556,0.05555556,0.05555556","15,16,42,45,64"
mp-26734,MnP2O7,-2.375978779971675,0.007555218499998,Mn:0.10|O:0.70|P:0.20,"{'O', 'Mn', 'P'}","Mn,O,P","0.10000000,0.70000000,0.20000000","61,73,76"
mp-1213724,Cs2LaCl5,-2.494501427812499,0.0,Cl:0.60|Cs:0.25|La:0.10,"{'Cs', 'Cl', 'La'}","Cl,Cs,La","0.62500000,0.25000000,0.12500000","21,26,53"
mp-6333,NaIn(SiO3)2,-2.797347585304598,0.0,In:0.15|Na:0.15|O:0.50|Si:0.15,"{'Na', 'In', 'O', 'Si'}","In,Na,O,Si","0.16666667,0.16666667,0.50000000,0.16666667","49,65,73,98"
mp-4675,NaTaO3,-3.053653402742529,0.0093388935,Na:0.20|O:0.60|Ta:0.20,"{'Na', 'O', 'Ta'}","Na,O,Ta","0.20000000,0.60000000,0.20000000","65,73,102"
mp-1236344,Sr4LiMn2(GaO5)2,-2.561308219694494,0.068518048552634,Ga:0.10|Li:0.10|Mn:0.15|O:0.40|Sr:0.30,"{'O', 'Ga', 'Li', 'Mn', 'Sr'}","Ga,Li,Mn,O,Sr","0.07692308,0.07692308,0.15384615,0.38461538,0.30769231","39,54,61,73,101"
mp-1228175,Ba5LiMo2N7Cl2,-1.367242420490196,0.0,Ba:0.30|Cl:0.10|Li:0.05|Mo:0.10|N:0.40,"{'Mo', 'Cl', 'Li', 'N', 'Ba'}","Ba,Cl,Li,Mo,N","0.29411765,0.11764706,0.05882353,0.11764706,0.41176471","10,21,54,62,64"
mp-1226898,Ce2Si3Ni,-0.700519268333332,0.036188860416666,Ce:0.35|Ni:0.15|Si:0.50,"{'Ce', 'Ni', 'Si'}","Ce,Ni,Si","0.33333333,0.16666667,0.50000000","19,70,98"
